"source","median","lo90","hi90","lo95","hi95"
"Gemma — expert",46.7583328200243,43.4241390674212,50.1801634333229,42.7542247226852,51.0335540890012
"Gemma — intermediate",29.4563213587536,27.2559916070239,31.6538284165969,26.8469069445819,32.1631697263169
"Gemma — novice",20.4507363464091,19.0481184576974,21.9177946708244,18.8231242517364,22.2419902244949
"Gemma — overall",28.7938640399091,27.6004130512693,30.0143742474068,27.3494090617599,30.2571216500627
"Post-2023 literature",111.214272640251,107.729460017888,114.695384548151,107.125249732692,115.398117931555
"Pre-2023 literature",87.5950794209137,84.6199358884446,90.5866111082789,84.0139650097233,91.3216954753887
"Qwen3 — expert",60.726718858463,56.8334911856545,64.7361053386783,56.1892608198428,65.4181251275795
"Qwen3 — intermediate",30.5411197504266,28.2972527733379,32.9777301280464,27.9407143375899,33.4206218624276
"Qwen3 — novice",20.9174305600721,19.5148579280641,22.3871463332476,19.3043790262404,22.6271522283344
"Qwen3 — overall",31.5430900840004,30.1660130156819,33.0180812307049,29.8701047001066,33.3249548249698
