"l2","year","median","lo90","hi90","lo50","hi50"
"L2-00: Univariate & Classical Hypothesis Testing",2010,10.053294,8.99609177,11.08570105,9.636582475,10.4693515
"L2-00: Univariate & Classical Hypothesis Testing",2011,10.098887,9.113347085,11.0543425,9.703517225,10.485382
"L2-00: Univariate & Classical Hypothesis Testing",2012,10.0970375,9.2014397,11.01189055,9.729878225,10.47601875
"L2-00: Univariate & Classical Hypothesis Testing",2013,10.061468,9.20335535,10.91046685,9.7244664,10.413526
"L2-00: Univariate & Classical Hypothesis Testing",2014,10.203306,9.421127325,10.97912745,9.897709675,10.53105675
"L2-00: Univariate & Classical Hypothesis Testing",2015,10.2272495,9.47837123,10.96966475,9.919969675,10.52518725
"L2-00: Univariate & Classical Hypothesis Testing",2016,10.1455065,9.432888725,10.83722515,9.8593915,10.4303515
"L2-00: Univariate & Classical Hypothesis Testing",2017,10.083212,9.356414065,10.76058235,9.794669975,10.352066
"L2-00: Univariate & Classical Hypothesis Testing",2018,10.12615,9.448306555,10.80180085,9.848292475,10.39831525
"L2-00: Univariate & Classical Hypothesis Testing",2019,10.031513,9.341557235,10.67359025,9.756668075,10.2912975
"L2-00: Univariate & Classical Hypothesis Testing",2020,9.8440565,9.15183893,10.49835945,9.563265475,10.10642925
"L2-00: Univariate & Classical Hypothesis Testing",2021,9.77938445,9.07700014,10.44308155,9.5018363,10.056613
"L2-00: Univariate & Classical Hypothesis Testing",2022,9.63768305,8.9419778,10.3135053,9.3631329,9.9179997
"L2-00: Univariate & Classical Hypothesis Testing",2023,9.6530896,8.921838315,10.37743225,9.35159915,9.95162475
"L2-00: Univariate & Classical Hypothesis Testing",2024,9.63851985,8.85834543,10.3985562,9.316053475,9.9622401
"L2-00: Univariate & Classical Hypothesis Testing",2025,9.25833165,8.496345485,9.997828425,8.944890475,9.5654268
"L2-01: Multivariate Analysis & Dimensionality Reduction",2010,5.24610685,4.573997565,5.925165625,4.970076225,5.5230352
"L2-01: Multivariate Analysis & Dimensionality Reduction",2011,5.22295285,4.59053909,5.858285655,4.9581214,5.4818073
"L2-01: Multivariate Analysis & Dimensionality Reduction",2012,5.180054,4.587045995,5.786922465,4.934645575,5.4185119
"L2-01: Multivariate Analysis & Dimensionality Reduction",2013,5.1019246,4.55806744,5.684725765,4.883103575,5.330001175
"L2-01: Multivariate Analysis & Dimensionality Reduction",2014,5.18160845,4.674256445,5.696444695,4.97002195,5.386116875
"L2-01: Multivariate Analysis & Dimensionality Reduction",2015,5.08154275,4.61555373,5.561539555,4.888523625,5.278699975
"L2-01: Multivariate Analysis & Dimensionality Reduction",2016,5.06446655,4.619780725,5.52728459,4.8825359,5.2467393
"L2-01: Multivariate Analysis & Dimensionality Reduction",2017,5.1051146,4.68166822,5.527076085,4.9357085,5.274207075
"L2-01: Multivariate Analysis & Dimensionality Reduction",2018,5.16017085,4.74036694,5.589307625,4.98767775,5.332031375
"L2-01: Multivariate Analysis & Dimensionality Reduction",2019,5.06480575,4.66116871,5.460160565,4.895664025,5.22528415
"L2-01: Multivariate Analysis & Dimensionality Reduction",2020,5.18075525,4.77370385,5.589122975,5.0146826,5.346239475
"L2-01: Multivariate Analysis & Dimensionality Reduction",2021,5.0996706,4.675616085,5.52099237,4.92753525,5.269485975
"L2-01: Multivariate Analysis & Dimensionality Reduction",2022,5.0720913,4.652930625,5.48865284,4.89989295,5.244860275
"L2-01: Multivariate Analysis & Dimensionality Reduction",2023,5.12976705,4.68542035,5.59264685,4.952231125,5.30608715
"L2-01: Multivariate Analysis & Dimensionality Reduction",2024,5.0706324,4.65194025,5.51314015,4.897086475,5.2523128
"L2-01: Multivariate Analysis & Dimensionality Reduction",2025,5.1859049,4.766290255,5.633094225,5.009055725,5.365443475
"L2-02: Regression & Generalized Linear Models",2010,10.389816,8.7818854,11.915018,9.7273841,11.0406905
"L2-02: Regression & Generalized Linear Models",2011,10.5448495,9.041817795,11.97390405,9.9232868,11.14123975
"L2-02: Regression & Generalized Linear Models",2012,10.7087095,9.353206635,12.0834899,10.16083675,11.293402
"L2-02: Regression & Generalized Linear Models",2013,10.730874,9.51356067,11.9690473,10.236986,11.259383
"L2-02: Regression & Generalized Linear Models",2014,10.8178505,9.679267875,11.98301,10.34803975,11.30086625
"L2-02: Regression & Generalized Linear Models",2015,10.7632785,9.69001477,11.81160105,10.3345795,11.1947765
"L2-02: Regression & Generalized Linear Models",2016,10.9005665,9.944135175,11.9134857,10.49964025,11.31291825
"L2-02: Regression & Generalized Linear Models",2017,10.9028875,9.978725685,11.82672445,10.52374,11.275216
"L2-02: Regression & Generalized Linear Models",2018,10.967794,10.08961275,11.8603749,10.60635175,11.3128475
"L2-02: Regression & Generalized Linear Models",2019,10.9205405,10.06352185,11.76900545,10.5633805,11.2601095
"L2-02: Regression & Generalized Linear Models",2020,10.966872,10.1385464,11.81724965,10.627195,11.30743225
"L2-02: Regression & Generalized Linear Models",2021,10.92518,10.1244354,11.75155975,10.58343775,11.25941275
"L2-02: Regression & Generalized Linear Models",2022,10.803333,9.980908525,11.70180395,10.46022325,11.16358475
"L2-02: Regression & Generalized Linear Models",2023,10.646333,9.758783215,11.5543473,10.28121525,11.0240195
"L2-02: Regression & Generalized Linear Models",2024,10.4793495,9.584456805,11.4092178,10.11364925,10.855337
"L2-02: Regression & Generalized Linear Models",2025,9.92045605,8.99761943,10.8305595,9.549957325,10.29033675
"L2-03: Clustering & Unsupervised Learning",2010,2.0860279,1.706383165,2.62576884,1.90630705,2.29123345
"L2-03: Clustering & Unsupervised Learning",2011,2.10546205,1.741021725,2.601938425,1.93658975,2.29606015
"L2-03: Clustering & Unsupervised Learning",2012,2.11593365,1.774072575,2.55375132,1.9610686,2.281622275
"L2-03: Clustering & Unsupervised Learning",2013,2.11878285,1.796568785,2.52665471,1.974523075,2.275851475
"L2-03: Clustering & Unsupervised Learning",2014,2.130035,1.83326356,2.49582174,1.998723675,2.27150005
"L2-03: Clustering & Unsupervised Learning",2015,2.13077575,1.85286498,2.46514927,2.00965375,2.258859825
"L2-03: Clustering & Unsupervised Learning",2016,2.1642062,1.906134505,2.480855925,2.051187,2.28621055
"L2-03: Clustering & Unsupervised Learning",2017,2.1801756,1.93237896,2.463387935,2.070173875,2.29378085
"L2-03: Clustering & Unsupervised Learning",2018,2.1826977,1.948320095,2.452178955,2.082257825,2.2899056
"L2-03: Clustering & Unsupervised Learning",2019,2.19849445,1.97035119,2.46209705,2.09689325,2.300993825
"L2-03: Clustering & Unsupervised Learning",2020,2.1976469,1.968836125,2.46482384,2.099629875,2.305266475
"L2-03: Clustering & Unsupervised Learning",2021,2.2145543,1.975065545,2.503631525,2.110172025,2.326007075
"L2-03: Clustering & Unsupervised Learning",2022,2.23594205,1.9767031,2.53843187,2.12497565,2.35486675
"L2-03: Clustering & Unsupervised Learning",2023,2.21779795,1.94977048,2.525190325,2.103287375,2.33725755
"L2-03: Clustering & Unsupervised Learning",2024,2.2539692,1.970239575,2.591332435,2.13325825,2.38291005
"L2-03: Clustering & Unsupervised Learning",2025,2.23812805,1.939997315,2.590487795,2.11020865,2.376266375
"L2-04: Distance & Similarity Metrics",2010,3.8353045,3.07174587,4.66834621,3.513348225,4.1625554
"L2-04: Distance & Similarity Metrics",2011,3.9277926,3.19918108,4.710355335,3.62112615,4.240216225
"L2-04: Distance & Similarity Metrics",2012,4.0199152,3.312919935,4.775090905,3.713375775,4.311790175
"L2-04: Distance & Similarity Metrics",2013,4.14014855,3.474946305,4.88393311,3.859102225,4.438686
"L2-04: Distance & Similarity Metrics",2014,4.251174,3.617104305,4.948219465,3.974772975,4.527714025
"L2-04: Distance & Similarity Metrics",2015,4.36001735,3.740431555,5.00857548,4.09198955,4.628028925
"L2-04: Distance & Similarity Metrics",2016,4.4775254,3.88857374,5.10599565,4.2327494,4.733545725
"L2-04: Distance & Similarity Metrics",2017,4.63143665,4.064891055,5.234640295,4.393223975,4.8747182
"L2-04: Distance & Similarity Metrics",2018,4.7716614,4.206180665,5.34471191,4.542700675,5.006319525
"L2-04: Distance & Similarity Metrics",2019,4.89773085,4.341088685,5.44888568,4.67147975,5.124822725
"L2-04: Distance & Similarity Metrics",2020,5.0584489,4.499021375,5.586124155,4.832149675,5.279528775
"L2-04: Distance & Similarity Metrics",2021,5.2070171,4.63702878,5.73652113,4.98033335,5.42675935
"L2-04: Distance & Similarity Metrics",2022,5.32275915,4.70585212,5.848190225,5.0902575,5.542633375
