year,n_papers,total_words,marker_occurrences,freq_per_10k
2010,2275,430765,225,5.223265585644145
2011,2830,499412,240,4.805651446100614
2012,3113,554570,256,4.61618911949799
2013,3772,684238,377,5.509778761191281
2014,4087,750480,408,5.436520626798849
2015,4026,733125,447,6.097186700767263
2016,4405,842804,521,6.181745696508322
2017,4779,881571,495,5.614975991723866
2018,5373,1013539,622,6.1369123437775945
2019,7772,1482141,894,6.031814786852263
2020,8167,1573402,890,5.656532786916503
2021,9081,1782284,1141,6.401897789577867
2022,8890,1759560,1119,6.359544431562436
2023,9458,1869497,1605,8.585196980792158
2024,10120,2022615,2843,14.056061089233493
2025,10451,2115121,3750,17.72948214310198
