"l3","l2","mean_beta","sd_beta","lo90_beta","hi90_beta"
"L3-046: Bootstrap and Jackknife Resampling","L2-00: Univariate & Classical Hypothesis Testing",-0.248141162683175,0.15012608411814,-0.49400729,-0.00165927782500015
"L3-049: Randomization-Based Statistical Inference","L2-00: Univariate & Classical Hypothesis Testing",0.0701450653148111,0.130620497770474,-0.1429951595,0.28632945
"L3-098: Nonparametric Statistical Methods","L2-00: Univariate & Classical Hypothesis Testing",0.0970129795222408,0.110845250993409,-0.0843081798,0.2812310415
"L3-109: Categorical Association Testing","L2-00: Univariate & Classical Hypothesis Testing",0.0574884079473439,0.183743073437178,-0.2396495805,0.361341701
"L3-110: Reliability and Agreement Statistics","L2-00: Univariate & Classical Hypothesis Testing",0.136801516803609,0.20826958098109,-0.1960007625,0.490169419
"L3-112: Pearson and Partial Correlation","L2-00: Univariate & Classical Hypothesis Testing",-0.107130102942053,0.148161988647392,-0.3502442665,0.135923812
"L3-113: Non-Parametric Rank Correlation","L2-00: Univariate & Classical Hypothesis Testing",-0.184514331166258,0.135384927434638,-0.4044122005,0.03812530635
"L3-114: Analysis of Variance Family","L2-00: Univariate & Classical Hypothesis Testing",0.111955908223463,0.206263458864414,-0.223007706,0.453320693
"L3-116: Non-Parametric Rank-Based Tests","L2-00: Univariate & Classical Hypothesis Testing",0.121088908403385,0.165820007081108,-0.1488510035,0.393818615
"L3-118: Statistical Hypothesis Testing","L2-00: Univariate & Classical Hypothesis Testing",0.0777842332316628,0.216305657189618,-0.281127149,0.4305456475
"L3-119: Post Hoc Multiple Comparison Tests","L2-00: Univariate & Classical Hypothesis Testing",-0.161643842049795,0.165394749401241,-0.4308060245,0.112768308999999
"L3-120: Student's t-test Variants","L2-00: Univariate & Classical Hypothesis Testing",0.187826890209403,0.202460200462574,-0.1427971915,0.531200667
"L3-165: Statistical Frequency and Ratio Analysis","L2-00: Univariate & Classical Hypothesis Testing",0.142889214408087,0.185784847384179,-0.1596256115,0.4559601905
"L3-229: Univariate Statistical Analysis","L2-00: Univariate & Classical Hypothesis Testing",-0.225554840503879,0.1685369563786,-0.50421837,0.0512265720999998
"L3-230: Descriptive and Inferential Statistics","L2-00: Univariate & Classical Hypothesis Testing",-0.184861204731687,0.211220022892763,-0.5293203975,0.1656660505
"L3-016: Nonlinear Dimensionality Reduction","L2-01: Multivariate Analysis & Dimensionality Reduction",0.32729168028784,0.168708590562528,0.06165155585,0.606570227999999
"L3-019: Principal Component Analysis Variants","L2-01: Multivariate Analysis & Dimensionality Reduction",0.325261671179077,0.225018737061505,-0.0354629096,0.697142207
"L3-020: Factor and Correspondence Analysis","L2-01: Multivariate Analysis & Dimensionality Reduction",0.421624526912389,0.184823145684926,0.12815564,0.732502985
"L3-021: Multivariate Ordination and Seriation","L2-01: Multivariate Analysis & Dimensionality Reduction",-0.268254834014512,0.111676271114613,-0.4523664795,-0.0849168363000003
"L3-023: Statistical Data Normalization","L2-01: Multivariate Analysis & Dimensionality Reduction",0.0288808847536397,0.15625094189913,-0.229015037,0.287467106
"L3-031: Fractal and Multifractal Analysis","L2-01: Multivariate Analysis & Dimensionality Reduction",-0.0137815511889329,0.147791535962276,-0.2604529425,0.2270281445
"L3-115: Multivariate Statistical Analysis","L2-01: Multivariate Analysis & Dimensionality Reduction",-0.387176562589552,0.120526315349699,-0.583496476,-0.1866407405
"L3-137: Linear Dimensionality Reduction Methods","L2-01: Multivariate Analysis & Dimensionality Reduction",-0.0523405586244022,0.180701921039059,-0.3449424835,0.246672902
"L3-167: Multivariate Statistical & Machine Learning Methods","L2-01: Multivariate Analysis & Dimensionality Reduction",0.101755263177779,0.145232231846336,-0.1319915025,0.3456037895
"L3-232: Specialized Domain Analyses","L2-01: Multivariate Analysis & Dimensionality Reduction",0.199625653374965,0.138562607049186,-0.0275079818,0.4257142775
"L3-239: Redundancy Analysis Variants","L2-01: Multivariate Analysis & Dimensionality Reduction",-0.0796783996680399,0.19074915758912,-0.388153068,0.2385719115
"L3-006: Partial Least Squares Variants","L2-02: Regression & Generalized Linear Models",-0.0537922209183081,0.0731943458496715,-0.1719095255,0.06714449915
"L3-024: Panel Data Econometric Methods","L2-02: Regression & Generalized Linear Models",0.552310059530768,0.213789329947032,0.2152132255,0.9119199125
