"qwen_b_pre","qwen_b_gamma","gemma_b_pre","gemma_b_gamma"
0.87752222,0.098435571,0.62975292,0.71374173
0.72222311,-0.27603335,0.57981725,0.92095342
0.73020311,-0.19041326,0.63140085,0.29164583
0.71568435,0.16224776,0.60824341,-0.7020094
0.54206965,-0.19639721,0.61465296,-0.37772582
0.64172672,0.48018125,0.6065906,0.21660062
0.59357058,-0.17836357,0.5092185,-0.49412786
0.57291148,-0.46729317,0.4120933,0.095683157
0.56636229,-0.74462239,0.44671736,-0.063051256
0.56694209,-1.2106759,0.65551217,0.17315597
0.5288712,-0.36460566,0.63301596,1.4135144
0.6844019,1.9317852,0.62187284,-1.0773904
0.75054569,1.9457581,0.61492519,-1.0379809
0.705584,-0.6530666,0.59595217,-0.54691081
0.61746479,0.44644174,0.48553188,0.25792022
0.50627494,1.7485334,0.73774163,0.040512497
0.55062351,1.8223414,0.45647869,-0.39467393
0.81364255,-1.492564,0.55378188,1.0244249
0.53857891,1.2273726,0.58308097,1.366466
0.67052027,1.0003875,0.60822115,1.663426
0.54344613,-0.55430819,0.55853997,-0.96007321
0.42858383,0.70841757,0.58728248,-1.6056602
0.47101205,0.32113479,0.62660538,-1.9989383
0.42976071,-0.2834631,0.57424697,-0.29622347
0.79110461,-0.28244436,0.65963808,-0.50622316
0.66448978,0.13333475,0.6226892,-0.67882869
0.70409017,0.15365462,0.60630474,1.7357523
0.72031379,1.2282059,0.40129058,-0.42699216
0.67993043,-0.93440288,0.36209526,-0.31059271
0.70273066,0.17289412,0.59884055,0.41438227
0.66084214,-0.12233123,0.52046583,0.28097395
0.48299832,-0.2325231,0.43210209,1.4985272
0.75922743,1.3906914,0.50334606,1.3569499
0.71386499,-1.7646554,0.52648559,1.0120686
0.6774297,2.207259,0.63783969,0.17521099
0.53755403,-0.88307789,0.56214631,0.2526816
0.53711047,-1.1657857,0.61918091,1.8797179
0.58008702,-0.010970414,0.49613282,0.74926214
0.63600548,-0.1462467,0.51637795,0.29516165
0.63129519,-0.00049472698,0.59952521,0.72051328
0.65614621,-0.30669795,0.52876149,-0.043272722
0.66705866,-0.071937357,0.70369296,1.2417372
0.67398034,0.44849218,0.73990547,0.89893555
0.75697775,1.347933,0.76405805,1.5760421
0.83170086,0.81813895,0.75909351,1.9439871
0.81935689,0.82116978,0.75258682,2.4951888
0.77545455,-0.24059703,0.7626903,1.3662129
0.75911984,-0.83528871,0.74586305,-0.46726136
0.63198686,-0.79209282,0.74304913,-0.36193917
0.63141802,-0.77305402,0.62403229,1.7124845
0.68890427,-0.74980027,0.66995682,0.21501957
0.62226035,0.79045399,0.5863448,0.26656782
0.55481327,0.19157731,0.57854019,0.38163128
0.5953545,0.86944617,0.56116221,0.34763581
0.80308407,-0.92410586,0.66009139,-1.1852554
0.7122783,-0.056399384,0.73895813,-0.93223035
0.75347975,-0.46277766,0.73329656,0.070761926
0.7878029,0.14477331,0.40155939,0.6821975
0.78919413,0.45160359,0.58156176,-0.10117343
0.79659338,0.82596337,0.60177524,-0.16508545
0.79523697,1.0169406,0.49822233,0.52498145
0.70503791,0.087633511,0.52779272,-0.88252596
0.57842591,0.20167585,0.54559522,-0.60415881
0.59193506,0.25023174,0.51439256,0.19494142
0.56111173,-1.4394101,0.54362086,1.9438952
