"source","n_obs","n_clusters","inv_simpson","ci_indep","ci_cluster","deff","widen_factor"
"Qwen3 - novice",2398,252,18,"[16.8, 19.2]","[14.5, 21.6]",8.85,2.91
"Qwen3 - intermediate",2127,252,25.9,"[23.7, 27.6]","[20.8, 29.7]",5.07,2.29
"Qwen3 - expert",2126,252,52.9,"[48.3, 55.3]","[44.7, 56.9]",2.9,1.74
"Qwen3 - overall",6651,756,30.1,"[28.7, 31.4]","[26.2, 33.7]",7.72,2.79
"Gemma - novice",1716,252,16.5,"[15.3, 17.5]","[15.5, 17.5]",0.92,0.94
"Gemma - intermediate",1671,252,23.7,"[21.7, 25.2]","[21.4, 25.6]",1.46,1.21
"Gemma - expert",1864,252,39.4,"[36.1, 41.7]","[35.1, 41.7]",1.41,1.19
"Gemma - overall",5251,756,27.1,"[25.8, 28.1]","[25.6, 28.4]",1.47,1.22
"Pre-2023 literature",8495,4588,86,"[82.3, 88.1]","[82.2, 88.2]",1.06,1.04
"Post-2023 literature",5749,2772,109.3,"[103.9, 110.7]","[103.9, 110.6]",0.98,0.98
