"beta_overall","beta_novice","beta_inter","beta_expert"
-0.88613527,-0.48842102,-0.59079533,-0.58808547
-1.0578896,-0.26916974,-0.77272126,-0.87638543
-2.3208377,-0.0047433607,1.252561,0.75546426
1.1603327,0.8356898,1.3460923,1.0696095
2.2135748,-1.8562295,-2.3570536,-1.2959991
-0.216824,-1.531274,-1.8910443,-1.120709
-0.79688347,1.1478136,-1.6820183,-1.0646718
-0.14706292,-0.77861849,-0.8838965,1.1273195
0.50710216,-2.0904604,-0.18904611,-1.9323386
-1.1989395,-2.2144394,1.1555651,1.36031
0.36681448,-1.1744447,-0.53595751,-0.23062428
0.85991101,0.28071147,0.58350876,0.035938593
0.72358402,0.42106479,-1.3556108,-0.50529742
-0.54407576,0.40496659,-0.90200772,1.6455159
-0.59556535,-1.0781924,-0.015380973,0.56664433
1.2052792,-0.39706747,0.34658124,0.48137693
-1.730671,0.11107823,-0.18887582,1.0404801
0.9213619,-0.82291952,-0.14834793,-1.6909039
-1.4355183,-0.22886216,-0.34692502,1.2021339
0.71384517,-0.40427781,-0.28865467,-1.447804
0.086582391,-0.79426866,-0.94468757,-0.76251562
-1.4189493,-1.4475502,-2.1789549,0.016301501
1.464479,1.6772938,0.0026943343,-0.54993733
-0.094195626,1.384614,-0.26593293,-0.37290167
0.71885489,-1.8739344,-0.387229,-0.084127114
0.30317847,-1.6566261,-0.81039026,0.71856151
0.24346598,-0.82166785,-0.98201442,0.063807714
-0.25985053,-0.6194955,-0.52486149,-0.46227729
0.083161352,0.46637584,-1.5741244,0.44545786
-0.18596631,-0.75151512,-0.30572526,-0.20763016
-0.29659198,-0.5631993,-0.76401319,-0.15616266
-1.3518816,-0.40312481,-0.94648655,-0.60060739
-0.31884073,-0.067982542,-1.5462336,-0.46005237
-0.36161485,-1.1658839,0.58920166,-1.1364865
0.64155367,-1.0454549,1.5430188,1.7430712
-1.4770702,-0.67936807,-2.4278721,0.026138249
-1.1260328,-1.4958544,-1.2744605,-0.30122024
1.3874272,0.25336662,0.81653536,-0.1527757
0.0079785276,0.38893725,-0.59033119,-0.21128412
-0.1262589,-1.1516786,-0.54302888,0.37340788
-1.0337297,-0.52596599,1.2851159,1.2519818
0.10032698,-0.33882157,0.76881097,1.1357977
0.91892291,-1.1635693,-0.67297471,-1.8221566
-0.011727711,0.23913011,-0.2643422,-1.7601125
-1.1589485,-1.0391198,-0.23808549,-1.0294581
0.19256214,0.31737227,-0.29084751,-0.34030153
-0.67287751,0.42585856,-0.37046529,-0.55467634
0.60011185,0.72353272,-1.3696089,-0.091719983
1.4671546,1.0987042,-1.5079073,0.13634762
-0.16192184,0.54983038,-1.2683008,-2.10857
0.34195997,0.79264757,0.081075862,-1.9365258
-0.60453845,2.0890094,-0.17719308,-0.43382994
