"l3","mean_gamma","sd_gamma","sig90","n_recommended_total","n_recommended_novice","n_recommended_intermediate","n_recommended_expert"
"L3-112: Pearson and Partial Correlation",0.0433186731076897,0.107004704315438,FALSE,3,0,0,3
"L3-230: Descriptive and Inferential Statistics",-0.00717888422589466,0.101746185965028,FALSE,0,0,0,0
"L3-019: Principal Component Analysis Variants",-0.0339001521714167,0.0909982108422548,FALSE,123,16,22,85
"L3-020: Factor and Correspondence Analysis",-0.0279608079686761,0.102638432528998,FALSE,57,7,34,16
"L3-115: Multivariate Statistical Analysis",-0.0637966421578489,0.11108899714049,FALSE,78,30,31,17
"L3-232: Specialized Domain Analyses",0.0152372813276204,0.0949263916079297,FALSE,0,0,0,0
"L3-123: Generalized Linear Mixed Models",0.0891631716864242,0.13580284370102,FALSE,0,0,0,0
"L3-052: K-Means Clustering",0.0268236452903163,0.100574184886986,FALSE,0,0,0,0
"L3-158: Bayesian Statistical Inference",-0.0205136685251592,0.100445549153833,FALSE,0,0,0,0
"L3-153: Radiocarbon and Chronometric Dating",0.0235781532323432,0.10463193685596,FALSE,0,0,0,0
"L3-222: Spatial Autocorrelation and Geostatistics",0.0380150082789019,0.110734642692618,FALSE,0,0,0,0
"L3-066: Least Cost Path Modeling",0.0314626237076755,0.107392904420732,FALSE,11,0,6,5
"L3-223: Spatial Syntax and Modeling",-0.0172820129399729,0.105944561157272,FALSE,3,3,0,0
"L3-226: Geographic Information System Modeling",-0.0326197006633256,0.0950571611145379,FALSE,0,0,0,0
"L3-240: Multispectral and Hyperspectral Imaging",-0.0179958888237551,0.101042983323021,FALSE,0,0,0,0
"L3-152: Laser and Structured Light 3D Scanning",-0.00573457032148661,0.100575637777533,FALSE,0,0,0,0
"L3-171: 3D Geometry and Reconstruction",0.0175726973657292,0.0956578691395838,FALSE,0,0,0,0
"L3-195: Photogrammetric Reconstruction",-0.0258919196522865,0.0991066650779117,FALSE,21,1,19,1
"L3-183: Geometric Morphometrics",-0.00197261515871266,0.102268473764697,FALSE,0,0,0,0
"L3-102: Audio Signal Processing & Analysis",0.0223675582540695,0.109210590790465,FALSE,0,0,0,0
"L3-015: Discriminant Analysis Variants",-0.0424818909753912,0.10865697281411,FALSE,0,0,0,0
"L3-236: Automated Content Classification",-0.0649525288714825,0.110108035207637,FALSE,140,105,29,6
"L3-197: Feedforward and Recurrent Neural Networks",-0.0613610603440865,0.118656915546409,FALSE,20,0,6,14
"L3-202: Deep Learning Semantic Segmentation",0.0164304716769887,0.108244113481036,FALSE,0,0,0,0
"L3-241: Archaeological Dating and Analysis Methods",-0.0758856352022882,0.13013451455221,FALSE,0,0,0,0
"L3-193: Natural Language Processing",-0.0324906684511289,0.101687234584005,FALSE,324,158,137,29
"L3-074: X-ray and Neutron Diffraction",-0.00417416701320909,0.101987095610686,FALSE,0,0,0,0
"L3-082: Fourier Transform Infrared Spectroscopy",0.0279632339509029,0.10431151278841,FALSE,4,1,0,3
"L3-084: Scanning Electron Microscopy with Energy Dispersive Spectroscopy",0.0232470759018319,0.100082422209138,FALSE,0,0,0,0
"L3-088: X-ray Fluorescence and Absorption Spectroscopy",0.000567055944193,0.101314084153394,FALSE,27,17,3,7
"L3-089: X-ray Fluorescence Spectroscopy",-0.0134107584796108,0.103141391687063,FALSE,0,0,0,0
"L3-220: Discrete and Agent-Based Simulation",-0.0349680565264997,0.099733048941258,FALSE,0,0,0,0
"L3-080: Network Analysis and Modeling",-0.0833794257747241,0.122895485944448,FALSE,0,0,0,0
