"beta_overall","beta_novice","beta_inter","beta_expert"
0.74661489,0.86174028,-0.03892311,-1.2347599
-0.45099134,-1.3269684,0.022619619,1.1078479
-1.1088051,1.0927634,1.1509191,-1.4714799
0.24902913,0.33780882,-0.83798261,-0.043657417
-0.69355873,-0.30417843,0.77968593,-1.3352138
-0.36353601,0.93799615,-1.3093009,1.3087397
0.30939061,-0.90846006,-1.1928295,-2.3329241
-0.97796262,0.37219234,-1.9544439,0.40484465
-1.1426384,-0.50980384,1.5011549,-1.1974892
-0.15258326,0.41794177,-1.1425065,-0.35624309
-0.60234833,1.2340388,0.9259933,-0.22111171
0.50440776,-0.059195217,0.15352354,0.27225989
0.78736899,-0.4309437,-0.25243699,-0.89119262
-1.3215489,0.019717037,-1.3537618,0.2785823
-0.77427573,-1.7801794,0.90733741,-1.5736255
-0.014032396,-2.1538831,0.33059676,-0.19027155
1.2055214,1.424078,-0.66026591,-0.62724908
0.74900476,-1.7699585,-1.7952621,0.48359702
-1.4383655,-0.30630605,-1.510821,0.58746802
-1.0434839,-1.5368341,-0.64400687,-0.42132347
0.767065,0.82835601,-0.054833348,0.0021549718
-0.35807672,-1.5081734,0.067445094,0.48697209
-1.3052084,-0.61459331,-0.20211901,0.37055908
0.23902542,-0.43658406,-0.1955669,-0.13959764
0.21933308,0.12430258,-0.84411978,-0.74859068
-0.67605075,-0.23458372,-0.49918808,0.049539369
-0.36762428,-1.3299865,-0.3918519,-0.16178831
-0.034275277,1.3371303,-0.33770217,-0.21182672
-1.0432816,0.97527643,-0.35676914,-1.0080823
-0.0045207306,0.46401298,0.95664934,0.55665801
-1.1915846,1.307915,0.10196282,0.99516087
0.6625324,0.10428909,0.58231162,-0.93115046
0.08432618,0.2112813,0.53291986,-0.87218576
-0.53892176,-0.44801074,0.010201633,-1.2508812
-0.30532416,-0.74831478,0.056689764,0.38187968
-0.6067727,-1.5823622,-0.27617616,-0.85652704
-0.92738209,0.9606103,-0.3687473,-0.38267585
-0.46570325,0.012001751,-0.4606592,-0.49759841
-0.62659491,0.54756504,-0.18243059,-0.0098545481
-0.59274176,-1.4378609,0.14834106,-0.29921872
-0.88882697,0.66723653,-1.0402607,-0.62164789
-1.9215372,0.19253372,-0.37818145,0.023075442
0.052821332,-0.15229832,-0.46349042,-0.40690258
0.27274198,-0.58760427,-0.89661336,-1.8457683
0.16493529,0.13628958,-0.61736902,-2.0333271
-1.2113829,-1.0330867,-0.11631907,-1.962357
-0.28666116,-0.48565264,-0.73809935,-2.119288
-1.0307513,1.486123,-0.12484321,0.66932318
0.50602995,-1.1456102,0.087106236,0.13849982
0.27219169,-0.06452348,0.97540766,-0.61707644
0.021962826,0.37744953,0.34308037,-0.13602121
-1.690634,0.98913701,1.1004729,-1.0861553
-0.53399223,0.53243157,-0.23636715,-0.69422284
-0.24857932,-1.4030656,-1.9451219,0.10485032
-0.26247504,-1.0912184,-2.7893489,-1.0421269
-1.5401692,1.0143935,-0.71236664,0.7517348
0.038055125,-0.44208739,-0.93268643,0.57663937
-1.0719993,-1.1108472,0.58000548,0.59866642
0.24924916,-0.17604578,-1.5912895,0.75280907
-0.19490228,-0.42906998,-0.20971711,-1.7658663
-0.88190263,0.29671154,-0.20971711,-0.29927684
0.1871981,0.026329511,-0.29903296,0.65322343
-0.24444204,-0.17604379,-0.066556292,-0.352421
-0.90565717,-0.58019839,-0.32196065,0.2465298
