"l3","mean_gamma","sd_gamma","sig90","n_recommended_total","n_recommended_novice","n_recommended_intermediate","n_recommended_expert"
"L3-046: Bootstrap and Jackknife Resampling",-0.00593623448842313,0.114902120276836,FALSE,0,0,0,0
"L3-049: Randomization-Based Statistical Inference",-0.0146974682690422,0.122202444693419,FALSE,0,0,0,0
"L3-098: Nonparametric Statistical Methods",-0.0316083355957602,0.127972039569071,FALSE,18,8,6,4
"L3-109: Categorical Association Testing",-0.0527897024092798,0.117432374331155,FALSE,0,0,0,0
"L3-110: Reliability and Agreement Statistics",0.0115788302062505,0.11548992115734,FALSE,0,0,0,0
"L3-112: Pearson and Partial Correlation",0.0433186731076897,0.107004704315438,FALSE,3,0,0,3
"L3-113: Non-Parametric Rank Correlation",0.00879618944955804,0.119776749097005,FALSE,0,0,0,0
"L3-114: Analysis of Variance Family",0.0310718574664708,0.109812608832242,FALSE,0,0,0,0
"L3-116: Non-Parametric Rank-Based Tests",0.0165436668056666,0.113483767904248,FALSE,0,0,0,0
"L3-118: Statistical Hypothesis Testing",-0.0368362891379881,0.110123129867897,FALSE,0,0,0,0
"L3-119: Post Hoc Multiple Comparison Tests",0.0518809573385453,0.126757389167139,FALSE,0,0,0,0
"L3-120: Student's t-test Variants",0.0690333059646383,0.126108024462681,FALSE,0,0,0,0
"L3-165: Statistical Frequency and Ratio Analysis",-0.0289943720761792,0.112335870464546,FALSE,0,0,0,0
"L3-229: Univariate Statistical Analysis",-0.0542103230958939,0.115155361130296,FALSE,0,0,0,0
"L3-230: Descriptive and Inferential Statistics",-0.00717888422589466,0.101746185965028,FALSE,0,0,0,0
"L3-016: Nonlinear Dimensionality Reduction",0.0305050088552819,0.109702582410593,FALSE,0,0,0,0
"L3-019: Principal Component Analysis Variants",-0.0339001521714167,0.0909982108422548,FALSE,123,16,22,85
"L3-020: Factor and Correspondence Analysis",-0.0279608079686761,0.102638432528998,FALSE,57,7,34,16
"L3-021: Multivariate Ordination and Seriation",-0.0056667131578326,0.113522008731545,FALSE,57,10,37,10
"L3-023: Statistical Data Normalization",0.00983557958124841,0.112805232631309,FALSE,0,0,0,0
"L3-031: Fractal and Multifractal Analysis",0.0291775504740162,0.122167438904506,FALSE,0,0,0,0
"L3-115: Multivariate Statistical Analysis",-0.0637966421578489,0.11108899714049,FALSE,78,30,31,17
"L3-137: Linear Dimensionality Reduction Methods",0.0109726892360778,0.112554629184692,FALSE,0,0,0,0
"L3-167: Multivariate Statistical & Machine Learning Methods",0.0279686942850738,0.113239185966426,FALSE,0,0,0,0
"L3-232: Specialized Domain Analyses",0.0152372813276204,0.0949263916079297,FALSE,0,0,0,0
"L3-239: Redundancy Analysis Variants",0.00762180128640695,0.115436197288681,FALSE,0,0,0,0
"L3-006: Partial Least Squares Variants",0.0517518000839938,0.113628205403996,FALSE,0,0,0,0
"L3-024: Panel Data Econometric Methods",0.0781507058539865,0.141148816867555,FALSE,0,0,0,0
"L3-045: Survival Analysis Methods",-0.00443383422306608,0.118713796990432,FALSE,7,0,1,6
"L3-062: Gaussian Process Regression",-0.0315524445562313,0.119055149764733,FALSE,0,0,0,0
"L3-092: Weighted Averaging Methods",-0.00706210626756739,0.120681405806772,FALSE,0,0,0,0
"L3-096: Root Mean Square Error Metrics",0.0177848039480138,0.121527108883852,FALSE,0,0,0,0
"L3-122: Linear Mixed-Effect Models",0.00753598258193874,0.121340236406854,FALSE,0,0,0,0
"L3-123: Generalized Linear Mixed Models",0.0891631716864242,0.13580284370102,FALSE,0,0,0,0
"L3-126: Stepwise Variable Selection",-0.0134179818767526,0.11800955312,FALSE,2,0,0,2
"L3-129: Multiple Regression Models",-0.0280414804539653,0.116323060819876,FALSE,0,0,0,0
"L3-130: Least Squares Regression",0.030103369074093,0.116379946958971,FALSE,0,0,0,0
"L3-134: Logistic Regression Variants",-0.0802897785679654,0.130368113427925,FALSE,5,0,1,4
"L3-146: Regression Analysis",0.0415557309665704,0.117918266586817,FALSE,0,0,0,0
"L3-147: Linear Regression Variants",-0.0218431671938802,0.113177308796666,FALSE,0,0,0,0
"L3-163: Pollen and Spore Quantification",-0.0493619482412451,0.127326261214786,FALSE,0,0,0,0
"L3-164: Transfer Function Calibration",-0.0357222350793912,0.128274785745238,FALSE,0,0,0,0
"L3-166: Parametric Survival and Decay Distributions",-0.0395205521656066,0.126109928331292,FALSE,0,0,0,0
"L3-221: Experimental Design and Sensitivity Analysis",-0.00478939589391725,0.117955109110194,FALSE,10,1,1,8
"L3-001: Self-Organizing Neural Networks",-0.0101796395747239,0.113220864411209,FALSE,0,0,0,0
"L3-010: Hierarchical Clustering Algorithms",-0.00966654304486899,0.105288084978058,FALSE,0,0,0,0
"L3-011: Hierarchical Clustering Linkages",-0.0013078882624395,0.114929195253731,FALSE,0,0,0,0
"L3-029: Fuzzy Logic and Clustering",-0.00826185130647261,0.108891168613213,FALSE,0,0,0,0
"L3-052: K-Means Clustering",0.0268236452903163,0.100574184886986,FALSE,0,0,0,0
"L3-063: Gaussian Mixture Modeling",0.0025761494087269,0.109825334638047,FALSE,27,0,0,27
"L3-030: Clustering Validation Metrics",0.022264142462072,0.117670939602882,FALSE,0,0,0,0
"L3-057: Mahalanobis Distance Variants",-0.011996339848214,0.108792951004766,FALSE,3,1,0,2
"L3-069: Pairwise Similarity Metrics",0.0337465060822552,0.113819978276605,FALSE,0,0,0,0
"L3-070: Genetic and Biological Distance Metrics",-0.013717306441893,0.104691995511598,FALSE,0,0,0,0
"L3-099: Image Similarity Metrics",0.0633097566268462,0.123691101690212,FALSE,0,0,0,0
"L3-103: Ecological Diversity Metrics",-0.125149836351078,0.154526991220955,FALSE,15,6,4,5
"L3-106: Performance Evaluation Metrics",0.0315318670300073,0.112680998885445,FALSE,0,0,0,0
"L3-007: Phylogenetic Reconstruction Methods",0.018798909049134,0.114864422806265,FALSE,0,0,0,0
"L3-014: Inverse Problem Solving",-0.0729880155839554,0.136731789484543,FALSE,3,0,1,2
"L3-050: Stratified and Adaptive Sampling",-0.020225027303872,0.121459670257199,FALSE,1,0,0,1
"L3-078: Markov Chain Monte Carlo",0.0132833716280856,0.120797209363321,FALSE,0,0,0,0
"L3-095: Statistical Error Quantification and Modeling",-0.00279694705136856,0.117361711427807,FALSE,0,0,0,0
"L3-101: Information-Theoretic Entropy Measures",0.0906970549487598,0.145113001409582,FALSE,14,0,4,10
"L3-125: Bayesian Multilevel Modeling",-0.0164446161384209,0.116479605603423,FALSE,22,0,8,14
"L3-127: Bayesian Outlier Detection",0.00356639188059772,0.119949929462148,FALSE,0,0,0,0
"L3-135: Bayesian and Advanced Count Models",0.0492300046765506,0.125107032505975,FALSE,0,0,0,0
"L3-158: Bayesian Statistical Inference",-0.0205136685251592,0.100445549153833,FALSE,0,0,0,0
"L3-159: Probabilistic Uncertainty Quantification",-0.0221484269718994,0.118643768416891,FALSE,0,0,0,0
"L3-215: Numerical Glaciological Modeling",-0.0204491046889075,0.121397933715298,FALSE,0,0,0,0
"L3-000: Wavelet-Based Signal Decomposition",-0.0253711584872747,0.11071350958066,FALSE,0,0,0,0
"L3-012: Bayesian Change Point Analysis",-0.0200139540454373,0.116897387968814,FALSE,0,0,0,0
"L3-073: Fourier and Spectral Analysis Methods",0.0159038820093796,0.111749836360048,FALSE,0,0,0,0
"L3-075: Time Series Signal Filtering",0.0110207922230677,0.111262452784945,FALSE,0,0,0,0
"L3-100: Experimental Modal Analysis",0.0202985554086111,0.116511338183623,FALSE,1,0,0,1
"L3-111: Lag-Based Correlation Analysis",-0.00417947671352532,0.115155117657431,FALSE,0,0,0,0
"L3-136: Time Series Stationarity and Causality",0.0124069174928955,0.115155844047662,FALSE,0,0,0,0
"L3-145: Temporal Event and Sequence Analysis",-0.0100723433744174,0.113492656387944,FALSE,0,0,0,0
"L3-028: Fuzzy Delphi and Rough Set Methods",0.0290393294589055,0.121200448714071,FALSE,0,0,0,0
"L3-124: Radiocarbon Summed Probability Distributions",-0.0416709041838895,0.120414889682018,FALSE,0,0,0,0
"L3-131: Bayesian Radiocarbon Calibration",-0.0466172483641752,0.12212156026707,FALSE,0,0,0,0
"L3-132: Chronostratigraphic Dating Methods",-0.00530263472059279,0.115443973309699,FALSE,0,0,0,0
"L3-133: Bayesian Radiocarbon Wiggle Matching",0.00856063110040005,0.11431962201781,FALSE,0,0,0,0
"L3-140: Luminescence and ESR Dating",0.0228828350993912,0.120121960237984,FALSE,5,1,3,1
"L3-141: Nonlinear Structural Dynamic Analysis",0.0243095595167384,0.120605085714812,FALSE,0,0,0,0
"L3-142: Bayesian Age-Depth Modeling",0.0023406416216667,0.113004220544584,FALSE,10,2,3,5
"L3-144: Bayesian Chronological Modeling",0.0238824718498752,0.114283404844056,FALSE,0,0,0,0
"L3-151: Radiometric and Luminescence Dating",-0.00229316276987186,0.119778947795365,FALSE,0,0,0,0
"L3-153: Radiocarbon and Chronometric Dating",0.0235781532323432,0.10463193685596,FALSE,0,0,0,0
"L3-154: Bayesian Radiocarbon Calibration",-0.0448452664403884,0.126362506904466,FALSE,0,0,0,0
"L3-238: Comparative and Historical Analysis Methods",0.00611081651199913,0.110575234901137,FALSE,0,0,0,0
"L3-025: Density-Based Clustering",0.0192228071259343,0.111191191375472,FALSE,22,2,6,14
"L3-027: Poisson Point Process Modeling",0.0128121213312939,0.114281375535939,FALSE,0,0,0,0
"L3-032: Polynomial Trend Surface Analysis",-0.0229677845669967,0.119246960683329,FALSE,0,0,0,0
"L3-033: Kernel Density Estimation",0.00823862875465274,0.105340423590298,FALSE,0,0,0,0
"L3-155: Voronoi and Delaunay Geometric Methods",0.0031760351694396,0.116472651961428,FALSE,0,0,0,0
"L3-210: Spatial Interpolation Methods",0.00322411713530857,0.115441941202927,FALSE,0,0,0,0
"L3-211: Variogram Modeling",-0.0213813080477805,0.120699781089141,FALSE,0,0,0,0
"L3-212: Kriging Interpolation Methods",-0.0403408169665659,0.117144909195041,FALSE,0,0,0,0
"L3-222: Spatial Autocorrelation and Geostatistics",0.0380150082789019,0.110734642692618,FALSE,0,0,0,0
