"beta_overall","beta_novice","beta_inter","beta_expert"
-0.46607669,0.41499689,-1.5629492,-0.64669413
1.121442,-0.26825805,-1.0340803,-0.63502887
-1.3725195,-1.2287215,0.21448743,-0.576607
0.68221541,-0.39067942,-0.79741524,0.10064729
-0.64733341,-0.17251981,-0.97911586,-1.6835691
-0.95963252,-0.059726395,-0.47955066,-0.8779066
-1.0545356,-1.1523451,-0.1973831,0.87789273
0.80758984,0.43456054,-0.17507945,-2.007225
-0.03684099,-0.36753618,-1.7947675,1.5349697
-0.55690334,-0.39212963,-0.4780614,-2.2193981
-1.6885925,-0.68225194,-0.47500088,-0.23148795
-1.607549,1.0975724,1.0077465,0.1808422
-1.0351387,0.75893056,0.80310507,0.83941174
0.47181831,-0.13906085,0.81556095,-1.5247768
-0.80079309,-0.13231514,-0.28926589,0.47722085
0.52891621,-0.64179074,0.26137408,0.65969764
0.5057747,-1.2695384,-1.0824515,-1.1391639
-0.53505477,-1.2680689,-0.96431532,0.13824087
-0.33428367,-0.25789096,0.49778366,-0.61640162
-0.081552283,0.046688747,0.15552218,-0.63504555
-2.0324789,-0.7648051,-0.11268363,-0.12617879
-1.754791,-0.049550707,-0.1992536,-0.82257801
-0.28437829,-1.5600537,0.012325012,0.39979317
-1.3843902,0.71029708,-0.0071419673,0.05023159
-0.19922871,0.65059083,-0.89796802,-0.40005229
-0.54977604,-1.2653708,-0.75100915,-0.035586467
-1.342068,0.03927272,-0.51063021,-0.93932919
-0.23507007,0.54893514,-0.8538998,-0.19948449
0.064331516,-0.41732511,0.62411838,-0.39425625
-1.37461,-1.9695328,-0.47559998,-0.40216902
0.73603209,-1.6257683,1.3629036,-0.16098177
-0.50382905,-0.61556047,-1.8891963,0.87711285
0.11774583,-0.64749215,0.61533322,1.1992988
0.022464837,0.16061208,-0.39624105,-2.0768177
-1.0928934,1.3556271,-0.17060665,-1.6567731
-0.041185218,0.19925007,1.0111323,-1.4483955
-1.1318839,-0.5754125,-0.89204149,1.1920868
-1.6301876,-1.7967018,-0.36152786,-1.7717891
-2.1219898,1.4563258,-0.81765306,-1.735667
-1.003949,-1.6735895,-0.59402957,-2.0862293
0.5752634,-1.7713909,0.9791345,1.7774756
-0.57758789,0.23912303,-0.13061809,0.71287853
-1.0275437,-0.12199286,-0.25322373,-0.94027062
1.0358966,0.60834946,0.96641239,-0.86981616
-0.50587803,-1.0512699,-1.0262478,-0.23252101
-0.71272227,-0.34018983,0.91679474,1.580329
-0.6153373,-0.033271479,-0.88015619,0.65145773
-0.41375414,0.16449886,-0.62660519,-0.58611471
-0.84951639,-0.89322565,-0.48846925,-0.31033988
0.2930556,-1.1489855,-0.085767566,-0.60428749
-1.7520426,0.38807171,-0.083190638,1.4116279
-0.3487876,1.1783367,1.4392071,-0.94820413
-0.32248619,-1.8147042,-1.2627844,-0.61630177
-0.29359315,-0.6156718,0.16253782,-1.6248134
-1.3203436,0.63381308,-0.84868628,1.0721849
-1.4613017,1.1482982,-1.5672137,-1.7449725
-0.68189449,0.26944937,-0.06263982,0.81922545
0.46511789,0.40515439,-0.40263474,-0.94582392
-0.84632038,-0.2404152,-0.39376163,0.69453181
0.34066229,-1.2220701,-2.1164454,-0.29516082
0.27819078,-0.85423678,-1.3442264,1.2535333
0.36248759,0.94478342,0.22666286,-0.68556167
-1.0579305,-1.0484156,0.15139575,-0.1357865
-1.1562561,0.41723914,-0.089283439,-0.92673563
-1.4292637,-1.4407587,0.34745932,0.22177287
-1.1926794,-1.3136751,-0.10903677,-1.1872348
1.0105197,0.79059522,-0.38630982,-1.3052253
1.1723518,-0.87581836,0.90727677,0.96550319
1.6050333,1.3902676,-1.2599509,-0.45456052
-0.064874328,0.15307512,-1.1569402,0.31751345
-0.9381358,0.12268343,0.68686313,0.51249013
-0.83104116,-0.33200134,-1.1832536,0.3967003
-0.10992519,0.19932035,-1.4052931,-0.79740768
-0.14477741,-0.42066327,-1.3393701,0.14744192
-0.4824538,-1.3822631,-0.986956,0.87562424
-1.1563219,1.1052725,1.6424301,-1.5578581
-2.0086721,0.53847549,0.067833048,0.89376777
0.94708336,0.078222699,-0.5433145,-1.1804419
-0.2657406,-0.69522215,-0.15128518,-1.9288633
-0.51700774,-0.66919342,1.8716976,-0.80424837
0.26284276,0.54603749,0.14456289,-0.10129656
-1.8745333,-0.79407142,-0.94948886,0.27566722
1.3178006,-0.94819437,-0.77735175,0.013575298
1.6587617,0.54676513,0.78840842,-0.5856607
-0.98986721,-0.4215542,0.54079013,-0.19500564
-0.56977253,0.38121557,0.95638815,-0.31218971
-0.41248609,0.2624162,0.091956107,0.36924283
-0.39020686,0.09234142,-0.54900842,0.66537152
-0.14898929,0.99994047,-0.70992429,-0.8815258
-0.25774659,-0.97303165,-0.73020137,2.0832727
-1.5494295,-1.7544111,1.1229575,3.2942507
-0.79711317,-0.41563745,1.1980516,-2.6512681
1.65839,0.33667924,-2.3594089,-1.2541105
-1.5624368,0.78504699,-1.7201268,-0.49255923
-1.1671561,0.70316392,0.77653757,1.0669821
-0.60665832,0.69915991,0.14415816,0.067737337
0.092412083,-0.44166741,0.029833451,-0.8882523
-0.66340592,-0.038273414,-0.18661622,-0.38303547
-0.47293673,0.055413414,0.28730879,-0.71260126
0.25374931,-1.1038424,-0.10718847,0.15557834
-0.25011583,-0.098656958,-0.26617596,0.13791494
-0.20195106,-0.13598942,-0.28672537,-0.0093340421
0.74515307,-0.65882131,-1.2323595,-1.3881378
0.89000351,-0.07565176,-0.8946646,1.0348106
-0.24363876,-0.29024784,0.46909894,-1.5357877
0.62317472,-0.069206343,0.21948836,-2.4378076
-1.1030509,-0.66432693,-0.30173854,-0.11770167
-1.4574744,-0.54874094,0.3549772,-0.026783508
-2.0512257,0.14926359,0.30647965,0.56093487
-1.4680773,-0.67606206,0.052280417,0.09097311
1.1016488,0.093921072,-0.26489854,-0.88994812
0.78785255,1.7219539,-0.84895349,-2.7666196
-1.3916314,-0.80403923,1.1620914,0.0060213242
-1.5847997,0.50294755,2.3430953,-0.31742635
-1.4592652,-0.75635043,1.7257179,0.12603662
-0.59245763,0.32635856,1.217656,-0.30136961
-0.13279776,0.16802646,1.9954997,-0.7421423
0.051477195,-0.72973155,2.1539856,0.11505675
-0.67947054,-0.18080025,1.8935819,-0.54320108
0.15705287,0.26572019,1.1374728,0.12460554
-1.2548267,-0.35521234,1.3588611,-0.14408489
-1.8993859,-1.3478607,1.8199016,1.22371
0.46842797,-0.59054273,-0.90411053,-1.6803257
-1.1167356,0.21505391,-0.39777493,-0.98256334
0.58734173,-0.71966183,-0.40201661,-0.91201677
-1.800092,0.95198825,-0.41431221,0.02212768
-1.4898053,0.91288377,-0.6016125,0.52526158
0.66428911,-1.1899806,-1.1269499,-1.4311702
-0.60232439,0.33558392,-0.43077746,0.6191495
-0.31258721,-0.2645384,-0.0479498,-0.38001027
1.1395149,0.033951962,-0.3721368,-1.3186593
-2.1892859,-0.18216455,-0.21969011,0.84456027
-1.4166513,-0.33938129,-1.418338,-1.4256208
-1.7547299,0.023002292,-1.3535194,-0.10493367
1.0945348,-0.71135804,-0.10631319,0.0077610107
0.99139351,-0.67820565,0.62919629,-0.012295937
-0.98320642,-0.81886173,0.11262534,-0.20480118
0.30900885,-0.9704615,-0.65372002,-0.10235583
-0.77443282,0.55776831,-0.61065199,-0.15260987
0.11277162,-0.76354425,-0.58973987,-1.104811
-1.1778459,-0.26944712,-0.45884605,-1.7585319
0.43380877,0.46573685,0.28097512,-1.5836961
-1.455858,-0.1793379,-0.13019439,-0.17974346
-0.79651085,0.17871834,0.57172898,-0.59770011
0.078480506,-0.85117517,-0.11137153,-2.2696239
-0.15522159,-0.084379815,0.16766088,1.2712225
-0.62381306,0.22398321,-0.10613846,0.5339425
-1.1198401,-0.31867662,0.94177949,-0.22214357
0.22734472,-0.74679912,1.4287242,-0.079543603
-0.63076001,0.3853388,-0.48099256,-0.46964029
0.17618267,-0.29088695,0.0079551394,-0.21541999
-0.7965579,-0.23719671,0.52045912,0.36289348
0.21539513,0.048222645,-0.81705131,-1.3635093
-0.69982667,-0.35865294,-0.91405044,-0.51283051
-0.49953841,0.12435495,-0.60855765,-0.62159227
0.15182411,0.07669904,-1.5214264,-0.31313747
-0.7988466,-0.031081921,0.37416849,1.1935635
-0.01298066,-0.60990019,0.36661775,-1.7801224
0.98654009,-0.015286555,0.32160195,1.4202553
-0.86682487,-0.75384549,1.3189358,1.462245
-0.97251774,-0.75840557,-0.19624774,1.6737634
0.36141205,-0.76961171,-0.3045739,0.7173482
-0.95705041,1.0814534,-0.23837598,1.5096644
-0.076745265,-1.410924,-0.017509521,0.55305375
-0.15896866,1.0946181,-0.46516651,-0.88142294
-0.56066211,1.3060102,-0.29727782,0.078649651
-0.57031626,1.1598413,-0.76662837,0.41458579
-0.81004801,0.29258711,-1.0289663,0.31072365
-0.033910183,-2.0312307,-0.92723802,-1.5097272
1.3998512,-1.2013088,-0.10867339,-0.27206498
-0.32250766,0.15230168,-1.0697559,-0.18323886
0.17336795,-1.6891302,-1.42361,-1.0975478
0.71835603,-3.0415875,0.012884858,-0.53199585
0.93117996,-1.1597255,0.2314891,0.78501543
-1.4141726,0.81674529,0.87433246,-0.71971922
0.51289386,-0.26113043,1.4632155,-0.65044988
-1.5960055,-1.006603,-1.6687075,-0.51241151
1.1604093,-1.033705,1.624488,0.1777514
-0.29553575,-1.1215391,-1.9862356,-0.00025210356
0.02815716,1.2261868,1.6087069,-2.2345375
-0.66536717,-0.55389739,1.6039626,1.7203178
0.79569278,-0.50326739,-0.011779813,-2.1000628
-0.96026535,-0.96186304,-0.73977133,2.3372462
-0.010066587,-0.62036205,0.95314714,-2.3754917
-0.56427312,1.2888469,1.0809421,1.5457631
-0.66207894,-0.30573758,-0.09822532,1.6568103
0.2376232,-0.47791915,-0.23675252,1.0913306
-1.0464996,-0.0075879253,-0.019688194,-1.6108696
0.21413024,-0.32952052,-0.019688194,1.0515256
-1.5234071,-0.3661293,-0.6959188,-2.3154722
-0.40301611,-0.17024341,-1.9207324,1.8582458
-1.285201,-0.37097507,-0.46569454,1.1903954
-1.0161185,1.0433484,-0.67006804,0.8651206
0.86088862,0.25255459,0.24093771,-1.5919388
-1.385812,0.43376873,0.13291012,1.1173364
-0.28790143,0.39086034,-0.46199592,-1.6544413
0.30484581,-0.63875354,1.1674277,-0.99234229
-1.1780021,0.46080876,0.33225795,-0.96301047
1.0214954,-0.11226847,0.50569565,-0.028986034
0.20047599,0.28926468,0.44711899,-0.48610653
-1.4590289,-0.43424732,-0.61075776,-0.133177
0.75201109,0.084965005,0.81731261,-0.20311994
-0.31642846,-0.42621505,-1.0185909,-0.061370875
-0.74875481,0.5372337,-0.3753998,0.18057217
-0.32465425,0.21999167,0.0468096,-0.69009993
-1.01289,-1.0445633,-0.88833017,1.6806853
0.027983481,0.42273996,0.085837827,0.61761225
0.064581575,-0.68474019,0.308364,-0.95786493
-1.2773377,-0.36517674,1.3549932,-0.70749694
-0.14669944,1.3321896,1.6955653,0.2355421
-0.90327001,-0.37384927,-0.47010147,-1.4380459
1.165385,-0.55473895,-0.029463823,1.0875366
-0.6436301,-0.77305485,-0.23361656,-1.2149035
0.32053137,0.35092966,-1.1327532,-0.55447723
-0.035396449,-1.5400834,-0.12906137,0.64004477
-0.79281828,-0.099915012,-0.084839926,-0.040969513
1.1071706,-1.1095233,0.4054362,0.010911649
0.97682327,0.36322448,0.042689505,-0.21688754
0.47416074,-1.0666149,-2.5848866,-0.80375321
1.0274306,-0.16764214,-2.8747409,-0.83276173
1.4124304,-1.0015924,0.13383959,-0.0068137526
0.4874131,0.12594403,0.92019308,0.20066653
-1.8656452,0.23778014,-1.1601485,-1.1243261
0.14759385,-0.21460917,-0.063121006,0.51354518
-0.23732522,0.36049571,0.061212709,-0.53526322
-2.8045184,-0.15465545,0.40145737,-0.62841447
0.33768681,0.03850475,0.39352381,0.30720281
-0.48901826,-0.38718148,1.0881625,-1.0111939
-0.70853224,-1.4673396,1.1421013,2.3206513
-0.11129451,-0.3565828,-2.5331285,0.58546467
0.74352384,0.55504911,1.1048505,-0.5299999
-1.4170478,-0.87352834,0.030885348,-0.331695
0.074181205,-1.2294854,-0.5476878,0.21480559
-0.050437911,0.84858115,1.2068918,-0.47374348
-0.5445036,0.16003495,0.65865766,0.62000596
-0.14087267,-1.5475821,-1.1261372,-0.70080474
0.0088951109,-0.67756751,-0.85182969,-1.439352
-1.3162924,0.84233897,-1.279886,0.48546109
0.759027,-0.97239923,0.76066956,-1.2386289
-1.0175531,0.41206181,0.22107544,-1.7517734
0.056957617,0.12986995,-1.4893162,1.7215198
-0.32720172,-0.62429398,-0.59687333,0.13563051
0.05207785,0.43745884,0.79905369,-0.51906629
0.032879313,-1.0982041,0.59621787,-0.63284967
-1.082075,-0.27282671,0.12799393,0.64062441
0.1947706,-0.81134189,-1.5843105,0.64191214
-1.9414994,-0.45784607,-0.11930216,-1.3083833
1.26372,-1.2476709,-1.3313166,0.46111673
-2.013951,-1.3154656,0.070487723,0.60531027
-0.50684313,-2.5358491,-0.61210031,0.57076591
0.29174809,-0.61039511,-0.11551727,-0.11522505
-0.72272178,-1.0170383,-1.0390032,-0.32343063
-0.67975623,-0.13173222,-1.7924416,0.029400365
-0.95623078,-0.47868242,-0.69271486,0.66845736
-0.28005922,-1.2989153,0.1798663,-1.2846703
-0.92344904,0.66180808,0.2353796,0.94315232
-0.23749236,1.0981075,-0.87423748,0.14850742
-0.61022894,1.8308591,-0.81704419,0.13543835
-0.26758465,-2.5485122,0.0089847121,0.73595674
-0.37531957,1.1261638,0.016656029,-0.48444574
-0.33691739,-0.72356432,0.86301756,1.6831708
-0.1247652,-0.8128422,-0.52140912,-0.39860811
0.99362665,-1.2027592,-0.21899655,0.29394094
-0.63933266,0.93869376,0.41570567,-0.55161412
0.99769132,-0.88808857,0.12860515,-0.65433527
1.1788822,-0.76667171,-0.74825902,-0.47886392
0.7231668,-0.46377854,0.66353639,-0.22989014
-1.0076629,-0.91466816,-0.77157624,0.18266094
-0.53165223,-0.95171482,-0.81010667,-1.1176656
-0.16367175,-1.2169462,-1.1953684,-0.040701114
-0.45442313,-0.2899679,1.0281684,-0.3647155
-0.39789681,-1.5899485,-0.85474256,-0.49402793
