"l3","mean_gamma","sd_gamma","sig90","n_recommended_total","n_recommended_novice","n_recommended_intermediate","n_recommended_expert"
"L3-046: Bootstrap and Jackknife Resampling",-0.00951928600618887,0.109658433012324,FALSE,17,0,2,15
"L3-049: Randomization-Based Statistical Inference",-0.0152644057633215,0.112595764346296,FALSE,3,0,1,2
"L3-098: Nonparametric Statistical Methods",-0.0234405045169706,0.113987962607358,FALSE,18,8,6,4
"L3-109: Categorical Association Testing",-0.0515085541711115,0.109874665529439,FALSE,2,0,0,2
"L3-110: Reliability and Agreement Statistics",0.0114969681182307,0.107753652489137,FALSE,5,1,0,4
"L3-112: Pearson and Partial Correlation",0.0426118645516406,0.105324751985441,FALSE,3,0,0,3
"L3-113: Non-Parametric Rank Correlation",0.00544234104844879,0.112429512756479,FALSE,3,0,1,2
"L3-114: Analysis of Variance Family",0.0240779581602729,0.103552047586229,FALSE,0,0,0,0
"L3-116: Non-Parametric Rank-Based Tests",0.020255256423889,0.110776163220584,FALSE,1,0,0,1
"L3-118: Statistical Hypothesis Testing",-0.0405865046735871,0.109170607479702,FALSE,1,0,0,1
"L3-119: Post Hoc Multiple Comparison Tests",0.0477483483945019,0.118794571920173,FALSE,0,0,0,0
"L3-120: Student's t-test Variants",0.0581228507481542,0.117132917393133,FALSE,0,0,0,0
"L3-165: Statistical Frequency and Ratio Analysis",-0.0223503719448014,0.107237190929472,FALSE,2,1,0,1
"L3-229: Univariate Statistical Analysis",-0.0385362424636998,0.10504997571514,FALSE,0,0,0,0
"L3-230: Descriptive and Inferential Statistics",-0.00854416455483375,0.0976144390330483,FALSE,0,0,0,0
"L3-016: Nonlinear Dimensionality Reduction",0.027360144974695,0.107933622309077,FALSE,48,0,3,45
"L3-019: Principal Component Analysis Variants",-0.033892391151227,0.0889082318056337,FALSE,123,16,22,85
"L3-020: Factor and Correspondence Analysis",-0.0258258829994524,0.0992773269592671,FALSE,57,7,34,16
"L3-021: Multivariate Ordination and Seriation",-0.0148143379703521,0.109712310444601,FALSE,57,10,37,10
"L3-023: Statistical Data Normalization",0.0100513599181571,0.109365139976289,FALSE,1,0,0,1
"L3-031: Fractal and Multifractal Analysis",0.0238459259054142,0.111825856133367,FALSE,20,4,4,12
"L3-115: Multivariate Statistical Analysis",-0.0515014334839087,0.103611074374654,FALSE,78,30,31,17
"L3-137: Linear Dimensionality Reduction Methods",0.00706033444224353,0.108855914963581,FALSE,5,0,0,5
"L3-167: Multivariate Statistical & Machine Learning Methods",0.0257889386432725,0.108479162859658,FALSE,12,0,1,11
"L3-232: Specialized Domain Analyses",0.0216710509520868,0.0899616639286985,FALSE,8,7,1,0
"L3-239: Redundancy Analysis Variants",0.0102676630092082,0.110721813718563,FALSE,0,0,0,0
"L3-006: Partial Least Squares Variants",0.0369757720934042,0.106543253084093,FALSE,0,0,0,0
"L3-024: Panel Data Econometric Methods",0.0650567026680742,0.135425290745115,FALSE,0,0,0,0
"L3-045: Survival Analysis Methods",-0.0184700744677447,0.115945563096569,FALSE,7,0,1,6
"L3-062: Gaussian Process Regression",-0.033356209383756,0.117173192824922,FALSE,13,0,1,12
"L3-092: Weighted Averaging Methods",-0.00620007018083319,0.113976809266794,FALSE,2,0,0,2
"L3-096: Root Mean Square Error Metrics",0.021262236562694,0.113573938771504,FALSE,8,0,0,8
