"beta_overall","beta_novice","beta_inter","beta_expert"
-0.95992883,-0.47538995,0.59804704,-0.77971582
-1.9540236,-0.058948022,-1.1150329,-0.74252965
1.5184807,-0.50517576,-1.0066927,-1.3119699
1.7369718,-0.88494075,0.40940283,0.6422479
-2.1447762,-0.60405295,-1.7889738,-1.4870775
1.5405815,-0.40080435,0.84067269,1.0132092
-0.069765289,0.20257764,-1.0369384,0.96989501
-1.2295512,-1.7600452,-1.1585061,1.0241967
-1.3301631,-0.64332517,1.6817421,0.054851911
1.9770406,1.0097768,1.3982028,-0.99871251
2.3086918,-1.6580774,-0.035460859,-0.92860468
-0.59125495,0.99643067,-0.45524124,0.56177736
0.1553136,-0.5548195,1.0479494,-1.4897143
-0.91354198,-0.048255557,0.38836913,-0.31944834
-1.033397,-0.048589026,0.56543727,-0.67657013
0.17163869,0.17908456,0.41488014,0.21316797
-1.1148762,-1.0302012,-0.74646689,-0.32901364
0.20688526,1.6228197,-0.81788579,0.044769685
-0.89844442,0.82755921,0.44901651,-0.018170124
1.1244862,-0.81715951,-0.24134753,-0.075371476
1.2458062,-0.21242995,-0.19405418,-1.5325998
1.1848593,0.45974396,-0.40614861,-1.7678157
-2.7158443,-0.70855678,-1.2642188,0.71289111
1.7738359,-0.47619218,-0.48959288,-0.94118484
0.04902613,0.94215515,0.35251247,-0.57008084
0.46590532,1.9431648,0.046557496,0.80595562
-1.1523237,-1.3953351,0.094832315,0.55036105
0.56414852,0.30643835,-0.32334416,-1.3607418
-1.0577989,-1.0064577,0.14493112,-0.99418888
0.44518962,-0.29461267,0.46726364,-0.17308598
-1.0474386,0.34797741,-0.83043055,0.75951536
-0.73690653,0.10797787,-0.6541959,-1.614471
0.87934415,-0.21860856,-0.10845582,0.51143584
0.45546037,-0.90071876,1.8477875,-0.42576232
-0.66685988,0.91835361,1.0863007,-0.44509446
0.20731085,-1.1038253,0.14415731,-0.81307087
-0.74314248,0.76599126,-0.94647094,-0.37840653
-0.13018141,0.2135568,0.61557941,-0.56605824
-0.1154178,-0.54038294,-0.5435772,-0.19684
-0.14399858,0.20285133,0.54572523,1.0355089
-1.013675,0.39539881,-0.46080328,-0.24241169
-0.44093525,0.62569058,0.068927127,0.17073849
1.1334777,1.1339381,-0.33030096,-0.81482652
-0.6202897,-1.1361083,0.88955197,-0.15373879
-0.79609498,-1.5111723,2.0805594,-0.6531973
-1.0092478,0.55405085,-1.3343157,0.16134088
-0.71693038,0.34885783,0.45877748,-1.819154
0.52942696,-0.5087895,-0.99761851,1.1064195
-0.013870539,-0.40653416,0.70393763,-0.10658721
-0.32963881,0.85424364,0.26485838,-0.32006875
-0.679567,-0.51851826,0.24172603,-1.1483992
-0.16229537,1.7375999,-0.41890846,0.69818188
-0.34546736,0.73792274,0.67664082,-0.57504287
-0.1335795,-1.0606391,-1.3201058,-1.176007
1.2593035,-0.60055089,-1.4108962,-0.74908588
-1.81113,0.65976455,2.3256768,0.089826066
0.552581,-0.75799237,-1.8733862,0.084705388
-0.70111746,1.9934367,-1.0752244,-0.74436948
1.4368773,-1.6562507,1.2356018,0.33548938
-0.29588711,-0.82839164,-1.5456208,-1.1095041
-0.3084603,1.0455621,2.009337,0.74283433
-0.53101032,-0.7561476,-0.95979635,1.2699093
0.29437181,0.36333359,-0.94591765,2.0010564
-0.2294484,-1.5758789,-0.5987172,-0.28908308
-0.54287377,-0.82104678,0.77031026,-0.088097789
-0.69472257,-1.3807261,0.31196269,-1.0895903
1.7242749,-0.96346381,-0.61761034,0.65842761
1.9821174,-1.0936684,0.29000334,-1.1679487
2.3363167,-0.7630006,1.9454755,1.3342206
0.66470601,-0.65553289,0.90525568,-1.6256897
0.44399709,-0.43049329,0.68281621,1.6264676
0.13983666,-0.61975573,-0.69914687,0.85714502
-0.73956077,0.015951208,0.84743848,-0.71122681
-0.54057066,-0.2615219,1.544496,-1.4502398
-0.086701978,-0.093059686,0.28469265,-1.5564803
-0.75296955,-1.3691296,-0.51609429,-0.81245601
-0.19445309,-0.67033894,-0.20311889,0.3872465
-0.99366286,-0.11333275,-0.6684942,-0.6036478
-0.49427079,-1.5452541,2.0236652,-0.34800713
1.3819489,0.83480893,0.73763124,0.040032718
-0.10135946,0.63113555,1.6234986,0.14077159
0.16576488,0.41581913,0.21065089,-0.68955539
-0.55357062,-0.5956539,-0.24905311,0.0024963705
-0.68508298,0.25362097,0.61977282,-0.02926637
-2.3153009,0.50136551,-1.0048854,-0.00077031479
-0.94360393,-0.48435112,0.76886423,-0.020194502
0.46863441,-1.4182587,-1.9779045,0.052096056
-0.70194618,-0.78846567,0.91759786,0.51894714
0.95889744,0.86185564,0.74584831,-0.20428137
1.9730547,-0.94820894,-0.60317006,-0.90174195
-0.3939801,-0.34640352,-0.67117811,0.49484663
-0.86987092,0.28018498,-0.84966479,-0.95825113
0.53563476,1.0305267,-0.67849098,0.32744875
-0.22094004,-0.88588574,0.86543367,-1.5924554
0.60658789,-1.5908173,0.01571143,0.34650938
-0.62523236,-0.6016383,0.45141423,-0.28290112
-0.43652571,-0.28944231,2.2124252,-0.51308663
-0.088942155,0.87015226,0.22524966,-0.72740403
-1.0891595,-0.10759717,-0.48687773,-0.54181222
1.4963493,0.423936,-0.27227915,0.29677458
-1.8709999,-0.011271715,-0.42934141,-0.89508611
-2.2384406,0.21039092,-0.54666168,-1.2213033
-2.4148316,1.6952408,-0.54666168,-1.4636445
2.1970566,1.354116,-0.58254095,-2.1725181
0.74087926,-1.3183762,-0.8169369,0.20922267
-0.36149271,0.95995824,0.33914176,-0.11452971
-1.1592723,0.16036825,0.37540901,-0.27708143
-1.9348665,1.2653811,0.65019716,-1.3005726
-0.72626416,1.4701362,0.92250311,-0.52851919
-0.45170642,-1.2180209,0.024141127,0.023520248
-0.27177521,-0.72164617,0.56369127,-0.84416912
-0.72229311,-0.52163926,0.32167064,-0.52479003
-0.32323724,0.47831273,0.69315089,-0.95951244
0.85113781,-0.66506295,1.1101643,-0.76045467
0.44057464,0.95618083,0.7422016,-0.71605355
-0.96016399,-1.5392477,-1.6000096,1.6561904
-1.215697,1.0039967,-2.3501228,-0.82062614
-1.2647327,-1.1395959,2.0877786,-0.6658609
-0.64280046,-0.21072188,-1.8312783,-0.56179261
0.79238143,0.74805767,-1.2412718,0.13322818
-1.4418821,0.19469855,-0.30457017,-0.62498139
-2.0540333,0.56540062,-0.2144651,0.32257505
-2.1543954,1.1984816,-1.6987467,-1.7475577
0.97678262,-1.7027349,0.32129426,0.99787179
-2.7866863,-0.73029418,-1.3060398,0.58199001
-2.3485091,-1.1833021,-1.6406445,0.24024942
1.5808099,-1.4999545,0.60876104,-0.7633091
0.42348149,-0.95877848,0.60876104,-0.21326749
-0.28692531,-1.0905425,0.32062674,0.0028690658
-1.2126695,-1.4061951,-0.87633371,-1.0726623
-0.20225516,-1.5710916,1.0806914,0.55580626
0.30664678,1.700591,-1.7932033,1.0626933
-0.97155064,-0.89100975,0.21311896,-1.7879326
-0.94268097,0.18348238,-0.51338646,1.2775943
0.85272388,-0.87118507,0.33400955,1.5220231
0.28535281,1.0353662,-0.25490385,-1.5688209
0.018690804,-0.12669329,-1.7879029,-0.68070906
0.5398663,0.30898523,0.15544119,0.0013055805
-1.6151195,-0.45207484,0.46602675,-0.66624323
0.12393536,-0.036699351,-0.66566215,2.2135292
-0.30759884,-1.0360453,-0.87628196,-2.0352432
0.10874956,-1.5100238,1.5998884,2.2258448
-0.62821364,-2.0233967,0.89576928,3.5668913
-1.6621782,0.96822704,0.2251728,-1.5743901
1.0297351,0.070670433,-0.53814778,0.0082579894
-1.0270222,-1.1556391,0.16204859,-0.753244
0.13566978,0.60853557,-0.28710688,-0.28955539
-0.63767763,1.176435,0.19385279,0.34182075
-1.0054994,-1.2504916,0.19385279,-0.012570384
0.27999626,0.91409107,0.13079673,0.40046935
-0.80640704,-1.871096,0.099406063,-0.84396439
0.85542535,-0.76203363,0.22217584,-0.29936981
-1.3438887,0.720497,-0.93626376,-1.8132423
-0.60267877,-0.99578012,-0.16268159,1.685609
-0.35031192,0.22303671,0.90599823,0.96697181
-1.8835097,-0.7053614,0.11712768,0.17860709
1.8083898,-0.27280837,-0.0063990623,-0.44817986
0.1920582,-1.3643911,0.61943307,-0.094882343
0.055529723,0.31844096,0.20414949,-0.62314252
-0.63492734,1.7769985,0.57250142,-0.40498361
-0.78472633,1.6902869,0.063602258,-0.23737089
0.44668124,-1.5824519,-0.55275546,-0.82050374
-1.0620919,-0.96885942,-0.085562102,0.66446466
0.0063674947,-0.060859504,-0.92399937,-2.3432198
0.24170059,0.726624,0.82700417,-2.5458529
0.85131233,-0.093621511,1.5900737,-0.90531871
1.6089014,-0.4317477,-0.40765116,0.12717863
-2.0388396,-0.73334381,-0.92395714,-0.54766757
-1.6901105,-1.7112557,-0.36679183,-0.49990993
0.99137649,-1.3833371,1.7863472,0.11102818
-0.89894952,0.6109726,-0.94531448,0.85878153
-0.55268152,0.55864308,0.57473305,-1.2274155
0.063283272,-0.61640108,0.21476658,1.0989902
-0.29203574,0.60289074,0.43639045,-1.5451105
-0.33639935,-0.33235719,1.0555281,0.37758635
-0.19064024,0.15461652,1.6997762,1.108811
0.32545912,0.016420241,-2.9850509,-0.28385465
