"level_3_fine","mean_gamma","sd_gamma","sig90","n_recommended_total","n_recommended_novice","n_recommended_intermediate","n_recommended_expert"
"L3-000: Wavelet-Based Spectral Analysis",-0.071640962975583,0.130836157316608,FALSE,15,0,0,15
"L3-072: Spectral Unmixing and Analysis",0.051105185582896,0.125989665057302,FALSE,27,3,3,21
"L3-073: Fourier-Based Spectral Analysis",-0.00458089178348985,0.122036204125659,FALSE,42,18,2,22
"L3-100: Experimental Modal Analysis",0.0251107264784505,0.12851291480774,FALSE,1,0,0,1
"L3-068: X-ray and Neutron Tomography",-0.0630735145469111,0.123353145597,FALSE,4,1,1,2
"L3-071: Optical Interferometry and Profilometry",-0.0236598566300291,0.119443438969651,FALSE,1,0,0,1
"L3-087: Thermal and Terahertz Imaging",0.0246807603852081,0.129377339571456,FALSE,8,4,0,4
"L3-172: Spectral Imaging and Analysis",0.0620552526238539,0.125112676989247,FALSE,30,12,9,9
"L3-099: Image Quality Assessment",0.115043532503809,0.160043806570129,FALSE,1,0,0,1
"L3-156: Histogram-Based Thresholding",0.0309371006347384,0.14291391313359,FALSE,1,0,0,1
"L3-157: Pixel-Level Image Segmentation",0.029589294132142,0.130113333718044,FALSE,23,9,2,12
"L3-173: Handcrafted Texture and Shape Descriptors",-0.0481871798116303,0.141811416689594,FALSE,14,4,2,8
"L3-174: Affine Invariant Keypoint Detection",-0.0818732560151745,0.150169843402691,FALSE,1,0,0,1
"L3-177: Image Inpainting and Synthesis",0.00839404981579512,0.138249068204552,FALSE,9,6,2,1
"L3-178: Histogram and Retinex Enhancement",-0.069843107792724,0.148887717292246,FALSE,12,0,0,12
"L3-179: Mathematical Morphology",0.0159142506326935,0.138686498795643,FALSE,6,1,1,4
"L3-190: Color Space Transformations",-0.00577164970787938,0.102400445542042,FALSE,3,0,0,3
"L3-191: Colorimetric and Color Space Analysis",0.00577022401818827,0.102397548265677,FALSE,1,0,0,1
"L3-014: Inverse Problem Solving",-0.0715967057978953,0.147059649001464,FALSE,3,0,1,2
"L3-048: Seismic Tomography and Migration",-0.00787487733835305,0.142456283772148,FALSE,0,0,0,0
"L3-131: Bayesian and Regression Calibration",-0.0410902204197674,0.139386724247315,FALSE,4,2,0,2
"L3-149: Paleomagnetic and Rock Magnetic Analysis",0.0220216662490574,0.135965408803816,FALSE,2,0,2,0
